"","Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","OverTime","MaritalStatus","Age","DailyRate","DistanceFromHome","Education","EmployeeNumber","EnvironmentSatisfaction","HourlyRate","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"1","Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Yes","Single",41,1102,1,2,1,2,94,3,2,4,5993,19479,8,11,3,1,0,8,0,1,6,4,0,5
"2","No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","No","Married",49,279,8,1,2,3,61,2,2,2,5130,24907,1,23,4,4,1,10,3,3,10,7,1,7
"3","Yes","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Yes","Single",37,1373,2,2,4,4,92,2,1,3,2090,2396,6,15,3,2,0,7,3,3,0,0,0,0
"4","No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Yes","Married",33,1392,3,4,5,4,56,3,1,3,2909,23159,1,11,3,3,0,8,3,3,8,7,3,0
"5","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Married",27,591,2,1,7,1,40,3,1,2,3468,16632,9,12,3,4,1,6,3,3,2,2,2,2
"6","No","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","No","Single",32,1005,2,2,8,4,79,3,1,4,3068,11864,0,13,3,3,0,8,2,2,7,7,3,6
"7","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Yes","Married",59,1324,3,3,10,3,81,4,1,1,2670,9964,4,20,4,1,3,12,3,2,1,0,0,0
"8","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Divorced",30,1358,24,1,11,4,67,3,1,3,2693,13335,1,22,4,2,1,1,2,3,1,0,0,0
"9","No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","No","Single",38,216,23,3,12,4,44,2,3,3,9526,8787,0,21,4,2,0,10,2,3,9,7,1,8
"10","No","Travel_Rarely","Research & Development","Medical","Male","Healthcare Representative","No","Married",36,1299,27,3,13,3,94,3,2,3,5237,16577,6,13,3,2,2,17,3,2,7,7,7,7
"11","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Married",35,809,16,3,14,1,84,4,1,2,2426,16479,0,13,3,3,1,6,5,3,5,4,0,3
"12","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Yes","Single",29,153,15,2,15,4,49,2,2,3,4193,12682,0,12,3,4,0,10,3,3,9,5,0,8
"13","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Divorced",31,670,26,1,16,1,31,3,1,3,2911,15170,1,17,3,4,1,5,1,2,5,2,4,3
"14","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Divorced",34,1346,19,2,18,2,93,3,1,4,2661,8758,0,11,3,3,1,3,2,3,2,2,1,2
